2026-07-20 17:30:00.001 [INFO] [System] COWdeploy Edge Benchmarking Suite (Precision: FP16)
2026-07-20 17:30:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 17:30:00.030 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 17:30:00.055 [INFO] [Pipeline] Configuration: 
    - Detection Backend: QNN (Hexagon DSP) - yolov8n-seg_fp16.bin
    - Feature Extractor Backend: QNN (Hexagon DSP) - dinov2_vits14_fp16.bin
2026-07-20 17:30:00.110 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 17:30:00.120 [INFO] [QNN] Loading libQnnHtp.so (Hexagon Tensor Processor)...
2026-07-20 17:30:00.165 [INFO] [QNN] Loading context binary yolov8n-seg_fp16.bin to CDSP...
2026-07-20 17:30:00.175 [INFO] [QNN] Model loaded. Optimized for FP16.
2026-07-20 17:30:00.180 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 17:30:00.218 [DEBUG] [Frame 0000] Decode(GPU): 11.2ms | Preprocess: 1.1ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 38.4ms
2026-07-20 17:30:00.257 [DEBUG] [Frame 0001] Decode(GPU): 12.5ms | Preprocess: 1.4ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 39.1ms
2026-07-20 17:30:00.294 [DEBUG] [Frame 0002] Decode(GPU): 11.3ms | Preprocess: 1.1ms | YOLO(fp16): 24.5ms | DINOv2: Skipped | Total: 37.4ms
2026-07-20 17:30:00.335 [DEBUG] [Frame 0003] Decode(GPU): 11.2ms | Preprocess: 1.4ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 40.1ms
2026-07-20 17:30:00.375 [DEBUG] [Frame 0004] Decode(GPU): 12.1ms | Preprocess: 1.4ms | YOLO(fp16): 26.3ms | DINOv2: Skipped | Total: 40.6ms
2026-07-20 17:30:00.416 [DEBUG] [Frame 0005] Decode(GPU): 12.4ms | Preprocess: 1.2ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 41.1ms
2026-07-20 17:30:00.454 [DEBUG] [Frame 0006] Decode(GPU): 10.2ms | Preprocess: 1.2ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 37.3ms
2026-07-20 17:30:00.491 [DEBUG] [Frame 0007] Decode(GPU): 10.9ms | Preprocess: 1.2ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.6ms
2026-07-20 17:30:00.530 [DEBUG] [Frame 0008] Decode(GPU): 10.6ms | Preprocess: 1.4ms | YOLO(fp16): 26.1ms | DINOv2: Skipped | Total: 38.7ms
2026-07-20 17:30:00.569 [DEBUG] [Frame 0009] Decode(GPU): 11.9ms | Preprocess: 1.4ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 39.3ms
2026-07-20 17:30:00.606 [DEBUG] [Frame 0010] Decode(GPU): 10.6ms | Preprocess: 1.3ms | YOLO(fp16): 24.6ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:00.647 [DEBUG] [Frame 0011] Decode(GPU): 12.6ms | Preprocess: 1.0ms | YOLO(fp16): 26.4ms | DINOv2: Skipped | Total: 40.7ms
2026-07-20 17:30:00.685 [DEBUG] [Frame 0012] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 37.6ms
2026-07-20 17:30:00.723 [DEBUG] [Frame 0013] Decode(GPU): 11.7ms | Preprocess: 1.1ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 39.0ms
2026-07-20 17:30:00.763 [DEBUG] [Frame 0014] Decode(GPU): 12.6ms | Preprocess: 1.5ms | YOLO(fp16): 25.3ms | DINOv2: Skipped | Total: 40.0ms
2026-07-20 17:30:00.803 [DEBUG] [Frame 0015] Decode(GPU): 12.1ms | Preprocess: 1.4ms | YOLO(fp16): 25.5ms | DINOv2: Skipped | Total: 39.5ms
2026-07-20 17:30:00.843 [DEBUG] [Frame 0016] Decode(GPU): 11.4ms | Preprocess: 1.1ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 39.6ms
2026-07-20 17:30:00.881 [DEBUG] [Frame 0017] Decode(GPU): 12.2ms | Preprocess: 1.5ms | YOLO(fp16): 24.3ms | DINOv2: Skipped | Total: 38.8ms
2026-07-20 17:30:00.919 [DEBUG] [Frame 0018] Decode(GPU): 10.8ms | Preprocess: 1.3ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 37.8ms
2026-07-20 17:30:00.956 [DEBUG] [Frame 0019] Decode(GPU): 10.9ms | Preprocess: 1.2ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:00.995 [DEBUG] [Frame 0020] Decode(GPU): 12.0ms | Preprocess: 1.0ms | YOLO(fp16): 24.8ms | DINOv2: Skipped | Total: 38.5ms
2026-07-20 17:30:01.033 [DEBUG] [Frame 0021] Decode(GPU): 11.6ms | Preprocess: 1.0ms | YOLO(fp16): 25.3ms | DINOv2: Skipped | Total: 38.5ms
2026-07-20 17:30:01.072 [DEBUG] [Frame 0022] Decode(GPU): 11.9ms | Preprocess: 1.0ms | YOLO(fp16): 24.9ms | DINOv2: Skipped | Total: 38.3ms
2026-07-20 17:30:01.111 [DEBUG] [Frame 0023] Decode(GPU): 12.1ms | Preprocess: 1.1ms | YOLO(fp16): 25.0ms | DINOv2: Skipped | Total: 38.9ms
2026-07-20 17:30:01.149 [DEBUG] [Frame 0024] Decode(GPU): 10.6ms | Preprocess: 1.1ms | YOLO(fp16): 25.8ms | DINOv2: Skipped | Total: 38.1ms
2026-07-20 17:30:01.188 [DEBUG] [Frame 0025] Decode(GPU): 11.7ms | Preprocess: 1.1ms | YOLO(fp16): 25.7ms | DINOv2: Skipped | Total: 39.3ms
2026-07-20 17:30:01.227 [DEBUG] [Frame 0026] Decode(GPU): 12.4ms | Preprocess: 1.1ms | YOLO(fp16): 24.8ms | DINOv2: Skipped | Total: 39.3ms
2026-07-20 17:30:01.266 [DEBUG] [Frame 0027] Decode(GPU): 10.5ms | Preprocess: 1.3ms | YOLO(fp16): 25.9ms | DINOv2: Skipped | Total: 38.5ms
2026-07-20 17:30:01.303 [DEBUG] [Frame 0028] Decode(GPU): 10.3ms | Preprocess: 1.1ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 37.6ms
2026-07-20 17:30:01.341 [DEBUG] [Frame 0029] Decode(GPU): 10.7ms | Preprocess: 1.4ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 38.3ms
2026-07-20 17:30:01.379 [DEBUG] [Frame 0030] Decode(GPU): 11.1ms | Preprocess: 1.3ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.7ms
2026-07-20 17:30:01.419 [DEBUG] [Frame 0031] Decode(GPU): 12.0ms | Preprocess: 1.2ms | YOLO(fp16): 26.4ms | DINOv2: Skipped | Total: 40.3ms
2026-07-20 17:30:01.457 [DEBUG] [Frame 0032] Decode(GPU): 11.1ms | Preprocess: 1.5ms | YOLO(fp16): 24.3ms | DINOv2: Skipped | Total: 37.8ms
2026-07-20 17:30:01.498 [DEBUG] [Frame 0033] Decode(GPU): 12.0ms | Preprocess: 1.5ms | YOLO(fp16): 26.7ms | DINOv2: Skipped | Total: 41.0ms
2026-07-20 17:30:01.537 [DEBUG] [Frame 0034] Decode(GPU): 10.8ms | Preprocess: 1.4ms | YOLO(fp16): 26.0ms | DINOv2: Skipped | Total: 39.0ms
2026-07-20 17:30:01.577 [DEBUG] [Frame 0035] Decode(GPU): 12.5ms | Preprocess: 1.4ms | YOLO(fp16): 25.7ms | DINOv2: Skipped | Total: 40.2ms
2026-07-20 17:30:01.615 [DEBUG] [Frame 0036] Decode(GPU): 10.9ms | Preprocess: 1.4ms | YOLO(fp16): 24.5ms | DINOv2: Skipped | Total: 37.6ms
2026-07-20 17:30:01.655 [DEBUG] [Frame 0037] Decode(GPU): 11.0ms | Preprocess: 1.1ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 39.6ms
2026-07-20 17:30:01.695 [DEBUG] [Frame 0038] Decode(GPU): 11.3ms | Preprocess: 1.4ms | YOLO(fp16): 26.5ms | DINOv2: Skipped | Total: 40.2ms
2026-07-20 17:30:01.735 [DEBUG] [Frame 0039] Decode(GPU): 12.3ms | Preprocess: 1.2ms | YOLO(fp16): 26.0ms | DINOv2: Skipped | Total: 40.2ms
2026-07-20 17:30:01.773 [DEBUG] [Frame 0040] Decode(GPU): 10.6ms | Preprocess: 1.2ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 37.7ms
2026-07-20 17:30:01.810 [DEBUG] [Frame 0041] Decode(GPU): 10.9ms | Preprocess: 1.3ms | YOLO(fp16): 24.2ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:01.848 [DEBUG] [Frame 0042] Decode(GPU): 11.5ms | Preprocess: 1.1ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 38.6ms
2026-07-20 17:30:01.886 [DEBUG] [Frame 0043] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(fp16): 25.8ms | DINOv2: Skipped | Total: 38.1ms
2026-07-20 17:30:01.925 [DEBUG] [Frame 0044] Decode(GPU): 12.2ms | Preprocess: 1.1ms | YOLO(fp16): 24.8ms | DINOv2: Skipped | Total: 38.9ms
2026-07-20 17:30:01.964 [DEBUG] [Frame 0045] Decode(GPU): 12.3ms | Preprocess: 1.3ms | YOLO(fp16): 24.6ms | DINOv2: Skipped | Total: 39.1ms
2026-07-20 17:30:02.002 [DEBUG] [Frame 0046] Decode(GPU): 11.4ms | Preprocess: 1.2ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 37.6ms
2026-07-20 17:30:02.039 [DEBUG] [Frame 0047] Decode(GPU): 10.6ms | Preprocess: 1.2ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.3ms
2026-07-20 17:30:02.078 [DEBUG] [Frame 0048] Decode(GPU): 11.9ms | Preprocess: 1.2ms | YOLO(fp16): 24.3ms | DINOv2: Skipped | Total: 38.4ms
2026-07-20 17:30:02.116 [DEBUG] [Frame 0049] Decode(GPU): 12.1ms | Preprocess: 1.1ms | YOLO(fp16): 24.9ms | DINOv2: Skipped | Total: 38.8ms
2026-07-20 17:30:02.156 [DEBUG] [Frame 0050] Decode(GPU): 12.5ms | Preprocess: 1.4ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 39.7ms
