2026-07-20 18:00:00.001 [INFO] [System] COWdeploy Ultimate Benchmark (Profile: ONNX_GPU)
2026-07-20 18:00:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:00:00.018 [INFO] [System] Language/Runtime: C++
2026-07-20 18:00:00.033 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:00:00.058 [INFO] [Pipeline] Configuration: 
    - Detection Backend: ONNX Runtime (OpenCL GPU) [FP16]
    - Feature Extractor Backend: ONNX Runtime (OpenCL GPU) [FP16]
2026-07-20 18:00:00.113 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:00:00.233 [INFO] [Accelerator] Initializing OpenCL Context for Adreno GPU...
2026-07-20 18:00:00.683 [INFO] [Accelerator] OpenCL Kernels compiled and loaded successfully.
2026-07-20 18:00:00.688 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 18:00:00.718 [DEBUG] [Frame 0000] Decode: 10.2ms | Pre: 1.2ms | YOLO: 17.8ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 30.1ms
2026-07-20 18:00:00.750 [DEBUG] [Frame 0001] Decode: 11.7ms | Pre: 1.5ms | YOLO: 18.1ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 32.0ms
2026-07-20 18:00:00.781 [DEBUG] [Frame 0002] Decode: 11.4ms | Pre: 1.2ms | YOLO: 18.4ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 31.5ms
2026-07-20 18:00:00.815 [DEBUG] [Frame 0003] Decode: 12.4ms | Pre: 1.0ms | YOLO: 19.4ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 33.8ms
2026-07-20 18:00:00.847 [DEBUG] [Frame 0004] Decode: 12.4ms | Pre: 1.2ms | YOLO: 17.5ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 32.0ms
2026-07-20 18:00:00.880 [DEBUG] [Frame 0005] Decode: 12.3ms | Pre: 1.3ms | YOLO: 18.7ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 33.0ms
2026-07-20 18:00:00.911 [DEBUG] [Frame 0006] Decode: 10.8ms | Pre: 1.1ms | YOLO: 18.2ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 30.7ms
2026-07-20 18:00:00.944 [DEBUG] [Frame 0007] Decode: 11.8ms | Pre: 1.0ms | YOLO: 19.7ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 33.1ms
2026-07-20 18:00:00.978 [DEBUG] [Frame 0008] Decode: 12.6ms | Pre: 1.1ms | YOLO: 19.6ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 33.8ms
2026-07-20 18:00:01.008 [DEBUG] [Frame 0009] Decode: 10.3ms | Pre: 1.2ms | YOLO: 18.5ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 30.9ms
2026-07-20 18:00:01.040 [DEBUG] [Frame 0010] Decode: 11.2ms | Pre: 1.3ms | YOLO: 18.3ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 31.5ms
