2026-07-20 18:00:00.001 [INFO] [System] COWdeploy Ultimate Benchmark (Profile: ONNX_NPU)
2026-07-20 18:00:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:00:00.018 [INFO] [System] Language/Runtime: C++
2026-07-20 18:00:00.033 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:00:00.058 [INFO] [Pipeline] Configuration: 
    - Detection Backend: ONNX Runtime (Hexagon NPU EP) [INT8]
    - Feature Extractor Backend: ONNX Runtime (Hexagon NPU EP) [INT8]
2026-07-20 18:00:00.113 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:00:00.158 [INFO] [Accelerator] Loading Hexagon DSP drivers and delegates...
2026-07-20 18:00:00.478 [INFO] [Accelerator] Context loaded successfully to CDSP.
2026-07-20 18:00:00.483 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 18:00:00.510 [DEBUG] [Frame 0000] Decode: 11.4ms | Pre: 1.3ms | YOLO: 14.1ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 27.6ms
2026-07-20 18:00:00.539 [DEBUG] [Frame 0001] Decode: 12.4ms | Pre: 1.4ms | YOLO: 14.4ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 29.0ms
2026-07-20 18:00:00.565 [DEBUG] [Frame 0002] Decode: 11.4ms | Pre: 1.2ms | YOLO: 12.3ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 25.6ms
2026-07-20 18:00:00.591 [DEBUG] [Frame 0003] Decode: 11.4ms | Pre: 1.3ms | YOLO: 13.0ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 26.6ms
2026-07-20 18:00:00.619 [DEBUG] [Frame 0004] Decode: 12.6ms | Pre: 1.0ms | YOLO: 13.6ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 27.9ms
2026-07-20 18:00:00.646 [DEBUG] [Frame 0005] Decode: 11.4ms | Pre: 1.3ms | YOLO: 12.9ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 26.5ms
2026-07-20 18:00:00.672 [DEBUG] [Frame 0006] Decode: 11.3ms | Pre: 1.3ms | YOLO: 12.6ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.0ms
2026-07-20 18:00:00.698 [DEBUG] [Frame 0007] Decode: 11.2ms | Pre: 1.5ms | YOLO: 13.0ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.5ms
2026-07-20 18:00:00.726 [DEBUG] [Frame 0008] Decode: 11.3ms | Pre: 1.3ms | YOLO: 14.3ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 27.8ms
2026-07-20 18:00:00.753 [DEBUG] [Frame 0009] Decode: 12.1ms | Pre: 1.0ms | YOLO: 13.4ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 27.2ms
2026-07-20 18:00:00.779 [DEBUG] [Frame 0010] Decode: 10.2ms | Pre: 1.0ms | YOLO: 14.0ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 26.2ms
2026-07-20 18:00:00.807 [DEBUG] [Frame 0011] Decode: 10.8ms | Pre: 1.4ms | YOLO: 14.3ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 27.4ms
2026-07-20 18:00:00.832 [DEBUG] [Frame 0012] Decode: 10.5ms | Pre: 1.4ms | YOLO: 12.6ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 25.3ms
2026-07-20 18:00:00.858 [DEBUG] [Frame 0013] Decode: 11.8ms | Pre: 1.3ms | YOLO: 12.4ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 26.0ms
2026-07-20 18:00:00.885 [DEBUG] [Frame 0014] Decode: 11.7ms | Pre: 1.2ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 27.4ms
2026-07-20 18:00:00.914 [DEBUG] [Frame 0015] Decode: 12.2ms | Pre: 1.2ms | YOLO: 14.1ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 28.2ms
2026-07-20 18:00:00.939 [DEBUG] [Frame 0016] Decode: 10.2ms | Pre: 1.3ms | YOLO: 12.9ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 25.4ms
2026-07-20 18:00:00.965 [DEBUG] [Frame 0017] Decode: 11.9ms | Pre: 1.0ms | YOLO: 12.4ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 26.2ms
2026-07-20 18:00:00.992 [DEBUG] [Frame 0018] Decode: 11.6ms | Pre: 1.2ms | YOLO: 13.6ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 27.0ms
2026-07-20 18:00:01.018 [DEBUG] [Frame 0019] Decode: 10.8ms | Pre: 1.3ms | YOLO: 12.9ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 25.6ms
2026-07-20 18:00:01.043 [DEBUG] [Frame 0020] Decode: 11.2ms | Pre: 1.3ms | YOLO: 12.4ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 25.5ms
2026-07-20 18:00:01.070 [DEBUG] [Frame 0021] Decode: 11.1ms | Pre: 1.3ms | YOLO: 13.6ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 27.0ms
2026-07-20 18:00:01.097 [DEBUG] [Frame 0022] Decode: 12.3ms | Pre: 1.4ms | YOLO: 12.4ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 26.8ms
2026-07-20 18:00:01.123 [DEBUG] [Frame 0023] Decode: 10.6ms | Pre: 1.0ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 26.2ms
2026-07-20 18:00:01.150 [DEBUG] [Frame 0024] Decode: 12.6ms | Pre: 1.4ms | YOLO: 12.4ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 26.9ms
2026-07-20 18:00:01.178 [DEBUG] [Frame 0025] Decode: 12.1ms | Pre: 1.1ms | YOLO: 13.9ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 28.0ms
2026-07-20 18:00:01.206 [DEBUG] [Frame 0026] Decode: 12.6ms | Pre: 1.2ms | YOLO: 13.3ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 27.5ms
2026-07-20 18:00:01.232 [DEBUG] [Frame 0027] Decode: 10.3ms | Pre: 1.3ms | YOLO: 14.5ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 26.6ms
2026-07-20 18:00:01.261 [DEBUG] [Frame 0028] Decode: 12.1ms | Pre: 1.0ms | YOLO: 14.6ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 28.7ms
2026-07-20 18:00:01.289 [DEBUG] [Frame 0029] Decode: 11.8ms | Pre: 1.3ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 27.7ms
2026-07-20 18:00:01.317 [DEBUG] [Frame 0030] Decode: 12.4ms | Pre: 1.3ms | YOLO: 13.4ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 27.9ms
2026-07-20 18:00:01.344 [DEBUG] [Frame 0031] Decode: 12.5ms | Pre: 1.4ms | YOLO: 13.1ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 27.8ms
2026-07-20 18:00:01.370 [DEBUG] [Frame 0032] Decode: 10.7ms | Pre: 1.2ms | YOLO: 13.0ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 25.6ms
2026-07-20 18:00:01.396 [DEBUG] [Frame 0033] Decode: 10.9ms | Pre: 1.3ms | YOLO: 13.6ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 26.5ms
2026-07-20 18:00:01.425 [DEBUG] [Frame 0034] Decode: 12.1ms | Pre: 1.3ms | YOLO: 14.6ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 28.7ms
2026-07-20 18:00:01.453 [DEBUG] [Frame 0035] Decode: 11.8ms | Pre: 1.3ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 27.8ms
2026-07-20 18:00:01.481 [DEBUG] [Frame 0036] Decode: 12.4ms | Pre: 1.2ms | YOLO: 14.3ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 28.5ms
2026-07-20 18:00:01.508 [DEBUG] [Frame 0037] Decode: 10.4ms | Pre: 1.2ms | YOLO: 14.5ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.9ms
2026-07-20 18:00:01.536 [DEBUG] [Frame 0038] Decode: 11.5ms | Pre: 1.5ms | YOLO: 14.2ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 27.8ms
2026-07-20 18:00:01.562 [DEBUG] [Frame 0039] Decode: 10.4ms | Pre: 1.2ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 26.2ms
2026-07-20 18:00:01.590 [DEBUG] [Frame 0040] Decode: 12.6ms | Pre: 1.3ms | YOLO: 12.5ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 27.4ms
2026-07-20 18:00:01.616 [DEBUG] [Frame 0041] Decode: 11.9ms | Pre: 1.1ms | YOLO: 12.2ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.0ms
2026-07-20 18:00:01.641 [DEBUG] [Frame 0042] Decode: 10.8ms | Pre: 1.4ms | YOLO: 12.8ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 25.7ms
2026-07-20 18:00:01.666 [DEBUG] [Frame 0043] Decode: 10.3ms | Pre: 1.2ms | YOLO: 12.7ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 24.9ms
2026-07-20 18:00:01.694 [DEBUG] [Frame 0044] Decode: 11.0ms | Pre: 1.2ms | YOLO: 14.5ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 27.8ms
2026-07-20 18:00:01.721 [DEBUG] [Frame 0045] Decode: 10.5ms | Pre: 1.1ms | YOLO: 14.6ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 27.2ms
2026-07-20 18:00:01.748 [DEBUG] [Frame 0046] Decode: 10.7ms | Pre: 1.4ms | YOLO: 14.0ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.9ms
2026-07-20 18:00:01.774 [DEBUG] [Frame 0047] Decode: 11.2ms | Pre: 1.1ms | YOLO: 12.9ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 26.1ms
2026-07-20 18:00:01.801 [DEBUG] [Frame 0048] Decode: 10.5ms | Pre: 1.1ms | YOLO: 14.2ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 26.3ms
2026-07-20 18:00:01.827 [DEBUG] [Frame 0049] Decode: 11.1ms | Pre: 1.2ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 26.8ms
2026-07-20 18:00:01.854 [DEBUG] [Frame 0050] Decode: 10.5ms | Pre: 1.3ms | YOLO: 14.3ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.9ms
2026-07-20 18:00:01.883 [DEBUG] [Frame 0051] Decode: 12.1ms | Pre: 1.1ms | YOLO: 14.5ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 28.6ms
