2026-07-20 18:00:00.001 [INFO] [System] COWdeploy Ultimate Benchmark (Profile: PYTHON_NPU)
2026-07-20 18:00:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:00:00.018 [INFO] [System] Language/Runtime: Python
2026-07-20 18:00:00.033 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:00:00.058 [INFO] [Pipeline] Configuration: 
    - Detection Backend: TFLite (Hexagon DSP Delegate) [W8A8]
    - Feature Extractor Backend: TFLite (Hexagon DSP Delegate) [W8A8]
2026-07-20 18:00:00.113 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:00:00.158 [INFO] [Accelerator] Loading Hexagon DSP drivers and delegates...
2026-07-20 18:00:00.478 [INFO] [Accelerator] Context loaded successfully to CDSP.
2026-07-20 18:00:00.483 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 18:00:00.509 [DEBUG] [Frame 0000] Decode: 10.3ms | Pre: 1.5ms | YOLO: 9.7ms | DINOv2: Skipped | Overhead: 4.9ms | Total: 26.5ms
2026-07-20 18:00:00.535 [DEBUG] [Frame 0001] Decode: 11.8ms | Pre: 1.0ms | YOLO: 8.0ms | DINOv2: Skipped | Overhead: 5.0ms | Total: 25.7ms
2026-07-20 18:00:00.561 [DEBUG] [Frame 0002] Decode: 10.6ms | Pre: 1.1ms | YOLO: 9.3ms | DINOv2: Skipped | Overhead: 5.6ms | Total: 26.6ms
2026-07-20 18:00:00.588 [DEBUG] [Frame 0003] Decode: 12.2ms | Pre: 1.4ms | YOLO: 8.2ms | DINOv2: Skipped | Overhead: 4.8ms | Total: 26.7ms
2026-07-20 18:00:00.612 [DEBUG] [Frame 0004] Decode: 10.4ms | Pre: 1.3ms | YOLO: 7.6ms | DINOv2: Skipped | Overhead: 4.5ms | Total: 23.8ms
2026-07-20 18:00:00.637 [DEBUG] [Frame 0005] Decode: 10.7ms | Pre: 1.3ms | YOLO: 9.7ms | DINOv2: Skipped | Overhead: 3.9ms | Total: 25.5ms
2026-07-20 18:00:00.664 [DEBUG] [Frame 0006] Decode: 11.4ms | Pre: 1.4ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 4.7ms | Total: 26.6ms
2026-07-20 18:00:00.691 [DEBUG] [Frame 0007] Decode: 11.2ms | Pre: 1.4ms | YOLO: 9.0ms | DINOv2: Skipped | Overhead: 4.9ms | Total: 26.6ms
2026-07-20 18:00:00.717 [DEBUG] [Frame 0008] Decode: 10.5ms | Pre: 1.4ms | YOLO: 10.0ms | DINOv2: Skipped | Overhead: 4.8ms | Total: 26.7ms
2026-07-20 18:00:00.744 [DEBUG] [Frame 0009] Decode: 12.2ms | Pre: 1.1ms | YOLO: 8.3ms | DINOv2: Skipped | Overhead: 4.9ms | Total: 26.4ms
2026-07-20 18:00:00.771 [DEBUG] [Frame 0010] Decode: 12.3ms | Pre: 1.5ms | YOLO: 8.1ms | DINOv2: Skipped | Overhead: 5.2ms | Total: 27.1ms
