2026-07-20 18:00:00.001 [INFO] [System] COWdeploy Ultimate Benchmark (Profile: TFLITE_NPU)
2026-07-20 18:00:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:00:00.018 [INFO] [System] Language/Runtime: C++
2026-07-20 18:00:00.033 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:00:00.058 [INFO] [Pipeline] Configuration: 
    - Detection Backend: TFLite (Hexagon DSP Delegate) [INT8]
    - Feature Extractor Backend: TFLite (Hexagon DSP Delegate) [INT8]
2026-07-20 18:00:00.113 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:00:00.158 [INFO] [Accelerator] Loading Hexagon DSP drivers and delegates...
2026-07-20 18:00:00.478 [INFO] [Accelerator] Context loaded successfully to CDSP.
2026-07-20 18:00:00.483 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 18:00:00.504 [DEBUG] [Frame 0000] Decode: 11.4ms | Pre: 1.3ms | YOLO: 7.8ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 21.4ms
2026-07-20 18:00:00.528 [DEBUG] [Frame 0001] Decode: 12.7ms | Pre: 1.1ms | YOLO: 9.8ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 24.3ms
2026-07-20 18:00:00.548 [DEBUG] [Frame 0002] Decode: 10.4ms | Pre: 1.2ms | YOLO: 7.9ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 20.0ms
2026-07-20 18:00:00.572 [DEBUG] [Frame 0003] Decode: 12.1ms | Pre: 1.5ms | YOLO: 9.8ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 24.0ms
2026-07-20 18:00:00.595 [DEBUG] [Frame 0004] Decode: 11.7ms | Pre: 1.4ms | YOLO: 8.9ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 23.0ms
2026-07-20 18:00:00.617 [DEBUG] [Frame 0005] Decode: 12.0ms | Pre: 1.2ms | YOLO: 8.4ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 22.3ms
2026-07-20 18:00:00.639 [DEBUG] [Frame 0006] Decode: 11.3ms | Pre: 1.4ms | YOLO: 7.9ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 21.2ms
2026-07-20 18:00:00.660 [DEBUG] [Frame 0007] Decode: 10.7ms | Pre: 1.1ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 21.7ms
2026-07-20 18:00:00.684 [DEBUG] [Frame 0008] Decode: 11.7ms | Pre: 1.4ms | YOLO: 10.1ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 24.1ms
2026-07-20 18:00:00.707 [DEBUG] [Frame 0009] Decode: 12.1ms | Pre: 1.3ms | YOLO: 8.2ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 22.5ms
2026-07-20 18:00:00.728 [DEBUG] [Frame 0010] Decode: 10.5ms | Pre: 1.4ms | YOLO: 8.3ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 20.7ms
2026-07-20 18:00:00.748 [DEBUG] [Frame 0011] Decode: 10.7ms | Pre: 1.2ms | YOLO: 8.1ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 20.6ms
2026-07-20 18:00:00.770 [DEBUG] [Frame 0012] Decode: 10.3ms | Pre: 1.1ms | YOLO: 9.3ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 21.5ms
2026-07-20 18:00:00.792 [DEBUG] [Frame 0013] Decode: 10.7ms | Pre: 1.2ms | YOLO: 9.8ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 22.3ms
2026-07-20 18:00:00.814 [DEBUG] [Frame 0014] Decode: 11.9ms | Pre: 1.3ms | YOLO: 8.3ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 22.2ms
2026-07-20 18:00:00.837 [DEBUG] [Frame 0015] Decode: 11.8ms | Pre: 1.0ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 22.8ms
2026-07-20 18:00:00.859 [DEBUG] [Frame 0016] Decode: 12.4ms | Pre: 1.2ms | YOLO: 8.1ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 22.4ms
2026-07-20 18:00:00.881 [DEBUG] [Frame 0017] Decode: 11.4ms | Pre: 1.1ms | YOLO: 8.5ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 21.6ms
2026-07-20 18:00:00.904 [DEBUG] [Frame 0018] Decode: 11.4ms | Pre: 1.2ms | YOLO: 9.5ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 23.0ms
2026-07-20 18:00:00.927 [DEBUG] [Frame 0019] Decode: 11.5ms | Pre: 1.1ms | YOLO: 9.8ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 23.3ms
2026-07-20 18:00:00.949 [DEBUG] [Frame 0020] Decode: 11.7ms | Pre: 1.4ms | YOLO: 8.4ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 22.2ms
2026-07-20 18:00:00.972 [DEBUG] [Frame 0021] Decode: 11.5ms | Pre: 1.2ms | YOLO: 8.6ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 22.2ms
2026-07-20 18:00:00.995 [DEBUG] [Frame 0022] Decode: 11.8ms | Pre: 1.3ms | YOLO: 9.8ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 23.5ms
2026-07-20 18:00:01.017 [DEBUG] [Frame 0023] Decode: 10.8ms | Pre: 1.3ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 21.7ms
2026-07-20 18:00:01.039 [DEBUG] [Frame 0024] Decode: 10.3ms | Pre: 1.2ms | YOLO: 9.7ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 22.2ms
2026-07-20 18:00:01.062 [DEBUG] [Frame 0025] Decode: 11.9ms | Pre: 1.1ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 23.0ms
2026-07-20 18:00:01.084 [DEBUG] [Frame 0026] Decode: 10.8ms | Pre: 1.0ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 21.5ms
2026-07-20 18:00:01.104 [DEBUG] [Frame 0027] Decode: 11.3ms | Pre: 1.1ms | YOLO: 7.6ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 20.7ms
2026-07-20 18:00:01.126 [DEBUG] [Frame 0028] Decode: 12.2ms | Pre: 1.0ms | YOLO: 7.8ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 21.5ms
2026-07-20 18:00:01.148 [DEBUG] [Frame 0029] Decode: 12.4ms | Pre: 1.1ms | YOLO: 8.0ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 22.2ms
2026-07-20 18:00:01.172 [DEBUG] [Frame 0030] Decode: 12.2ms | Pre: 1.1ms | YOLO: 9.5ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 23.7ms
2026-07-20 18:00:01.195 [DEBUG] [Frame 0031] Decode: 12.7ms | Pre: 1.1ms | YOLO: 8.9ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 23.6ms
2026-07-20 18:00:01.218 [DEBUG] [Frame 0032] Decode: 11.2ms | Pre: 1.2ms | YOLO: 8.8ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 22.1ms
2026-07-20 18:00:01.239 [DEBUG] [Frame 0033] Decode: 12.4ms | Pre: 1.1ms | YOLO: 7.7ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 21.9ms
2026-07-20 18:00:01.263 [DEBUG] [Frame 0034] Decode: 12.7ms | Pre: 1.4ms | YOLO: 9.0ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 24.0ms
2026-07-20 18:00:01.287 [DEBUG] [Frame 0035] Decode: 12.1ms | Pre: 1.1ms | YOLO: 9.5ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 23.4ms
2026-07-20 18:00:01.308 [DEBUG] [Frame 0036] Decode: 10.5ms | Pre: 1.0ms | YOLO: 8.3ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 20.8ms
2026-07-20 18:00:01.331 [DEBUG] [Frame 0037] Decode: 10.6ms | Pre: 1.4ms | YOLO: 9.9ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 22.8ms
2026-07-20 18:00:01.355 [DEBUG] [Frame 0038] Decode: 12.3ms | Pre: 1.3ms | YOLO: 9.9ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 24.4ms
2026-07-20 18:00:01.376 [DEBUG] [Frame 0039] Decode: 10.5ms | Pre: 1.3ms | YOLO: 8.0ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 20.6ms
2026-07-20 18:00:01.398 [DEBUG] [Frame 0040] Decode: 11.6ms | Pre: 1.2ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 22.4ms
2026-07-20 18:00:01.421 [DEBUG] [Frame 0041] Decode: 10.9ms | Pre: 1.4ms | YOLO: 10.0ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 23.3ms
2026-07-20 18:00:01.444 [DEBUG] [Frame 0042] Decode: 12.2ms | Pre: 1.1ms | YOLO: 8.0ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 22.3ms
2026-07-20 18:00:01.466 [DEBUG] [Frame 0043] Decode: 11.5ms | Pre: 1.4ms | YOLO: 8.6ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 22.2ms
2026-07-20 18:00:01.489 [DEBUG] [Frame 0044] Decode: 11.7ms | Pre: 1.3ms | YOLO: 9.5ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 23.3ms
2026-07-20 18:00:01.512 [DEBUG] [Frame 0045] Decode: 11.4ms | Pre: 1.1ms | YOLO: 9.3ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 22.7ms
2026-07-20 18:00:01.533 [DEBUG] [Frame 0046] Decode: 11.5ms | Pre: 1.1ms | YOLO: 7.8ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 21.4ms
2026-07-20 18:00:01.557 [DEBUG] [Frame 0047] Decode: 12.1ms | Pre: 1.2ms | YOLO: 9.7ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 23.7ms
2026-07-20 18:00:01.578 [DEBUG] [Frame 0048] Decode: 10.4ms | Pre: 1.3ms | YOLO: 8.8ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 21.3ms
2026-07-20 18:00:01.599 [DEBUG] [Frame 0049] Decode: 11.0ms | Pre: 1.1ms | YOLO: 8.2ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 20.8ms
2026-07-20 18:00:01.623 [DEBUG] [Frame 0050] Decode: 12.1ms | Pre: 1.4ms | YOLO: 9.4ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 23.5ms
2026-07-20 18:00:01.646 [DEBUG] [Frame 0051] Decode: 11.4ms | Pre: 1.4ms | YOLO: 9.4ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 23.2ms
2026-07-20 18:00:01.668 [DEBUG] [Frame 0052] Decode: 11.8ms | Pre: 1.2ms | YOLO: 8.5ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 22.2ms
2026-07-20 18:00:01.692 [DEBUG] [Frame 0053] Decode: 12.5ms | Pre: 1.4ms | YOLO: 9.3ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 24.2ms
2026-07-20 18:00:01.712 [DEBUG] [Frame 0054] Decode: 10.4ms | Pre: 1.2ms | YOLO: 8.0ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 20.2ms
2026-07-20 18:00:01.734 [DEBUG] [Frame 0055] Decode: 10.9ms | Pre: 1.3ms | YOLO: 8.1ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 21.2ms
2026-07-20 18:00:01.757 [DEBUG] [Frame 0056] Decode: 12.3ms | Pre: 1.1ms | YOLO: 8.9ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 23.1ms
2026-07-20 18:00:01.781 [DEBUG] [Frame 0057] Decode: 12.6ms | Pre: 1.1ms | YOLO: 10.0ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 24.5ms
