2026-07-20 18:30:00.001 [INFO] [System] COWdeploy Ultimate Pipelined Benchmark (DMA-BUF Zero-Copy)
2026-07-20 18:30:00.001 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:30:00.001 [INFO] [System] OS: Ubuntu 24.04.2 LTS aarch64
2026-07-20 18:30:00.001 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:30:00.001 [INFO] [Pipeline] Configuration: 
    - Architecture: 3-Stage Asynchronous Pipeline (Decode -> Detect -> Extract)
    - Zero-Copy: DMA-BUF (ION Memory) FD passing enabled
    - Detection Backend: TFLite (Hexagon DSP Delegate) [W8A8]
    - Feature Extractor Backend: TFLite (Hexagon DSP Delegate) [W8A8]
2026-07-20 18:30:00.056 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:30:00.071 [INFO] [Video] V4L2 Hardware Decoder initialized. DMA-BUF Export enabled.
2026-07-20 18:30:00.116 [INFO] [Accelerator] Loading Hexagon DSP drivers and TFLite delegates...
2026-07-20 18:30:00.236 [INFO] [Accelerator] TFLite Context loaded successfully to CDSP. DMA-BUF Import enabled.
2026-07-20 18:30:00.241 [INFO] [Pipeline] Starting multi-threaded pipeline processing loop...
2026-07-20 18:30:00.274 [DEBUG] [Pipeline-Sink] Frame 0000 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:00.307 [DEBUG] [Pipeline-Sink] Frame 0001 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.5ms
2026-07-20 18:30:00.340 [DEBUG] [Pipeline-Sink] Frame 0002 ready | Decode[GPU_Thread]: 11.8ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:00.374 [DEBUG] [Pipeline-Sink] Frame 0003 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.4ms
2026-07-20 18:30:00.407 [DEBUG] [Pipeline-Sink] Frame 0004 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:00.440 [DEBUG] [Pipeline-Sink] Frame 0005 ready | Decode[GPU_Thread]: 11.8ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:00.474 [DEBUG] [Pipeline-Sink] Frame 0006 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.4ms
2026-07-20 18:30:00.507 [DEBUG] [Pipeline-Sink] Frame 0007 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.4ms
2026-07-20 18:30:00.540 [DEBUG] [Pipeline-Sink] Frame 0008 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:00.574 [DEBUG] [Pipeline-Sink] Frame 0009 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:00.607 [DEBUG] [Pipeline-Sink] Frame 0010 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.4ms
