2026-07-20 18:00:00.001 [INFO] [System] COWdeploy Ultimate Benchmark (Profile: TFLITE_NPU_W8A8)
2026-07-20 18:00:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:00:00.018 [INFO] [System] Language/Runtime: C++
2026-07-20 18:00:00.033 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:00:00.058 [INFO] [Pipeline] Configuration: 
    - Detection Backend: TFLite (Hexagon DSP Delegate) [W8A8]
    - Feature Extractor Backend: TFLite (Hexagon DSP Delegate) [W8A8]
2026-07-20 18:00:00.113 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:00:00.158 [INFO] [Accelerator] Loading Hexagon DSP drivers and delegates...
2026-07-20 18:00:00.478 [INFO] [Accelerator] Context loaded successfully to CDSP.
2026-07-20 18:00:00.483 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 18:00:00.503 [DEBUG] [Frame 0000] Decode: 10.5ms | Pre: 1.2ms | YOLO: 8.3ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 20.8ms
2026-07-20 18:00:00.526 [DEBUG] [Frame 0001] Decode: 11.5ms | Pre: 1.1ms | YOLO: 9.4ms | DINOv2: Skipped | Overhead: 1.0ms | Total: 23.0ms
2026-07-20 18:00:00.548 [DEBUG] [Frame 0002] Decode: 11.2ms | Pre: 1.1ms | YOLO: 9.0ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 21.8ms
2026-07-20 18:00:00.569 [DEBUG] [Frame 0003] Decode: 10.8ms | Pre: 1.1ms | YOLO: 8.0ms | DINOv2: Skipped | Overhead: 0.5ms | Total: 20.5ms
2026-07-20 18:00:00.589 [DEBUG] [Frame 0004] Decode: 10.8ms | Pre: 1.0ms | YOLO: 7.9ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 20.4ms
2026-07-20 18:00:00.613 [DEBUG] [Frame 0005] Decode: 12.4ms | Pre: 1.4ms | YOLO: 9.5ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 24.0ms
2026-07-20 18:00:00.635 [DEBUG] [Frame 0006] Decode: 10.5ms | Pre: 1.4ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 21.5ms
2026-07-20 18:00:00.657 [DEBUG] [Frame 0007] Decode: 10.4ms | Pre: 1.3ms | YOLO: 10.0ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 22.5ms
2026-07-20 18:00:00.678 [DEBUG] [Frame 0008] Decode: 10.4ms | Pre: 1.1ms | YOLO: 8.4ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 20.7ms
2026-07-20 18:00:00.700 [DEBUG] [Frame 0009] Decode: 10.6ms | Pre: 1.4ms | YOLO: 9.6ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 22.4ms
2026-07-20 18:00:00.722 [DEBUG] [Frame 0010] Decode: 10.4ms | Pre: 1.4ms | YOLO: 9.1ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 21.5ms
2026-07-20 18:00:00.744 [DEBUG] [Frame 0011] Decode: 10.4ms | Pre: 1.2ms | YOLO: 9.6ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 22.0ms
2026-07-20 18:00:00.765 [DEBUG] [Frame 0012] Decode: 11.5ms | Pre: 1.3ms | YOLO: 7.7ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 21.1ms
