2026-07-20 17:30:00.001 [INFO] [System] COWdeploy Edge Benchmarking Suite (Precision: W8A16)
2026-07-20 17:30:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 17:30:00.030 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 17:30:00.055 [INFO] [Pipeline] Configuration: 
    - Detection Backend: QNN (Hexagon DSP) - yolov8n-seg_w8a16.bin
    - Feature Extractor Backend: QNN (Hexagon DSP) - dinov2_vits14_w8a16.bin
2026-07-20 17:30:00.110 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 17:30:00.120 [INFO] [QNN] Loading libQnnHtp.so (Hexagon Tensor Processor)...
2026-07-20 17:30:00.165 [INFO] [QNN] Loading context binary yolov8n-seg_w8a16.bin to CDSP...
2026-07-20 17:30:00.175 [INFO] [QNN] Model loaded. Optimized for W8A16.
2026-07-20 17:30:00.180 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 17:30:00.210 [DEBUG] [Frame 0000] Decode(GPU): 10.8ms | Preprocess: 1.2ms | YOLO(w8a16): 17.5ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:00.240 [DEBUG] [Frame 0001] Decode(GPU): 11.0ms | Preprocess: 1.4ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:00.272 [DEBUG] [Frame 0002] Decode(GPU): 12.0ms | Preprocess: 1.4ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 31.9ms
2026-07-20 17:30:00.304 [DEBUG] [Frame 0003] Decode(GPU): 12.0ms | Preprocess: 1.4ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 31.6ms
2026-07-20 17:30:00.334 [DEBUG] [Frame 0004] Decode(GPU): 11.8ms | Preprocess: 1.2ms | YOLO(w8a16): 16.7ms | DINOv2: Skipped | Total: 30.3ms
2026-07-20 17:30:00.365 [DEBUG] [Frame 0005] Decode(GPU): 12.1ms | Preprocess: 1.1ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 30.7ms
2026-07-20 17:30:00.397 [DEBUG] [Frame 0006] Decode(GPU): 12.6ms | Preprocess: 1.4ms | YOLO(w8a16): 17.7ms | DINOv2: Skipped | Total: 32.6ms
2026-07-20 17:30:00.429 [DEBUG] [Frame 0007] Decode(GPU): 10.4ms | Preprocess: 1.3ms | YOLO(w8a16): 18.7ms | DINOv2: Skipped | Total: 31.2ms
2026-07-20 17:30:00.459 [DEBUG] [Frame 0008] Decode(GPU): 11.0ms | Preprocess: 1.0ms | YOLO(w8a16): 17.2ms | DINOv2: Skipped | Total: 30.0ms
2026-07-20 17:30:00.491 [DEBUG] [Frame 0009] Decode(GPU): 11.6ms | Preprocess: 1.3ms | YOLO(w8a16): 19.0ms | DINOv2: Skipped | Total: 32.7ms
2026-07-20 17:30:00.522 [DEBUG] [Frame 0010] Decode(GPU): 11.0ms | Preprocess: 1.3ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 30.6ms
2026-07-20 17:30:00.554 [DEBUG] [Frame 0011] Decode(GPU): 12.2ms | Preprocess: 1.4ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:00.585 [DEBUG] [Frame 0012] Decode(GPU): 11.7ms | Preprocess: 1.1ms | YOLO(w8a16): 17.5ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:00.616 [DEBUG] [Frame 0013] Decode(GPU): 10.7ms | Preprocess: 1.1ms | YOLO(w8a16): 18.2ms | DINOv2: Skipped | Total: 31.1ms
