2026-07-20 18:20:39.003 [INFO] [System] COWdeploy Edge Benchmarking Suite v4.0 (Jetson Orin NX)
2026-07-20 18:20:39.003 [INFO] [System] Hardware: NVIDIA Jetson Orin NX (100 TOPS)
2026-07-20 18:20:39.003 [INFO] [System] OS: Ubuntu 24.04 LTS aarch64 (JetPack 7.2)
2026-07-20 18:20:39.003 [INFO] [Memory] Total RAM: 8.0 GB | Available: 6.1 GB
2026-07-20 18:20:39.003 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:20:39.003 [INFO] [Pipeline] Configuration: 
    - DeepStream Version: 9.1
    - Video Decode: nvv4l2decoder (Hardware NVDEC)
    - Preprocess: nvstreammux + nvvideoconvert (Hardware VIC)
    - Detection Backend: nvinfer (TensorRT INT8) - yolov8n-seg.engine
    - Feature Extractor Backend: nvinfer (TensorRT FP16) - dinov2_vits14.engine
    - Memory Architecture: NVMM (Zero-Copy Unified Memory)
2026-07-20 18:20:39.003 [INFO] [TensorRT] Loading engine yolov8n-seg.engine...
2026-07-20 18:20:39.103 [INFO] [TensorRT] Loaded successfully. Input: [1, 3, 640, 640]. Precision: INT8. DLA: Fallback to GPU (Ampere).
2026-07-20 18:20:39.103 [INFO] [TensorRT] Loading engine dinov2_vits14.engine...
2026-07-20 18:20:39.203 [INFO] [TensorRT] Loaded successfully. Input: [1, 3, 224, 224]. Precision: FP16. DLA: Fallback to GPU (Ampere).
2026-07-20 18:20:39.203 [INFO] [Pipeline] Starting asynchronous DeepStream pipeline...
2026-07-20 18:20:39.203 [DEBUG] [Frame 0000] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.203 [DEBUG] [Frame 0001] Decode(NVDEC): 3.8ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.5ms
2026-07-20 18:20:39.203 [DEBUG] [Frame 0002] Decode(NVDEC): 4.1ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.2ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.203 [DEBUG] [Frame 0003] Decode(NVDEC): 4.1ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0004] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0005] Decode(NVDEC): 3.8ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.5ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0006] Decode(NVDEC): 3.6ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0007] Decode(NVDEC): 4.2ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0008] Decode(NVDEC): 4.5ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.1ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0009] Decode(NVDEC): 4.2ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0010] Decode(NVDEC): 3.7ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
