2026-07-20 18:14:37.817 [INFO] [System] COWdeploy Edge Benchmarking Suite v4.1 (Radxa CM5 / RK3588)
2026-07-20 18:14:37.817 [INFO] [System] Hardware: Radxa CM5 (Rockchip RK3588 - 6 TOPS NPU)
2026-07-20 18:14:37.817 [INFO] [System] OS: Ubuntu 22.04 LTS aarch64 (Radxa OS)
2026-07-20 18:14:37.817 [INFO] [Memory] Total RAM: 8.0 GB | Available: 6.8 GB
2026-07-20 18:14:37.817 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | Target FPS: 25.0 | Frames: 1800 (72s)
2026-07-20 18:14:37.817 [INFO] [Pipeline] Configuration: 
    - RKNN Toolkit Version: 2.0.0
    - Video Decode: MPP (Media Process Platform)
    - Preprocess: RGA (Raster Graphic Acceleration) Hardware Resizer
    - Detection Backend: rknn_api (NPU INT8) - yolov8n-seg.rknn
    - Feature Extractor Backend: rknn_api (NPU INT8) - dinov2_vits14.rknn
    - Memory Architecture: dma_buf (Zero-Copy between MPP -> RGA -> RKNN)
2026-07-20 18:14:37.817 [INFO] [RKNN] Loading model yolov8n-seg.rknn...
2026-07-20 18:14:37.918 [INFO] [RKNN] Loaded successfully. Input: [1, 640, 640, 3]. Precision: INT8. Target: RK3588 NPU Core 0.
2026-07-20 18:14:37.918 [INFO] [RKNN] Loading model dinov2_vits14.rknn...
2026-07-20 18:14:38.019 [INFO] [RKNN] Loaded successfully. Input: [1, 224, 224, 3]. Precision: INT8. Target: RK3588 NPU Core 1 & 2.
2026-07-20 18:14:38.019 [INFO] [Pipeline] Starting asynchronous RKNN C++ pipeline...
2026-07-20 18:14:38.019 [DEBUG] [Frame 0000] Decode(MPP): 7.9ms | Resize(RGA): 3.3ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.1ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0001] Decode(MPP): 7.6ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0002] Decode(MPP): 8.4ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.0ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0003] Decode(MPP): 7.9ms | Resize(RGA): 2.9ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.6ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0004] Decode(MPP): 8.3ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.3ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0005] Decode(MPP): 8.1ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.9ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0006] Decode(MPP): 7.6ms | Resize(RGA): 3.1ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.0ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0007] Decode(MPP): 7.6ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.3ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0008] Decode(MPP): 8.4ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0009] Decode(MPP): 7.6ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0010] Decode(MPP): 8.3ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.6ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0011] Decode(MPP): 8.3ms | Resize(RGA): 2.5ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.2ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0012] Decode(MPP): 8.0ms | Resize(RGA): 3.5ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.4ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0013] Decode(MPP): 7.8ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.8ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0014] Decode(MPP): 8.4ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.2ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0015] Decode(MPP): 7.6ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.1ms
